campaignid,sample,date,reporting_name,location,uwa_site_code,zone_type,status_recorded,status_zoning
2025-11_PortGibbon_BRUVS,PGWI03_2511,2025-11-14,Port Gibbon - Port Gibbon Sanctuary Zone,Franklin Harbor,17.0,SZ,Fished,No-take
2025-11_PortGibbon_BRUVS,PGWI04_2511,2025-11-14,Port Gibbon - Port Gibbon Sanctuary Zone,Franklin Harbor,17.0,SZ,Fished,No-take
2025-11_PortGibbon_BRUVS,PGEO01_2511,2025-11-14,Port Gibbon - Port Gibbon Sanctuary Zone,Franklin Harbor,23.0,HPZ,No-take,Fished
2025-11_PortGibbon_BRUVS,PGCO01_2511,2025-11-14,Port Gibbon - Port Gibbon Sanctuary Zone,Franklin Harbor,24.0,HPZ,No-take,Fished
2025-11_PortGibbon_BRUVS,PGCO03_2511,2025-11-14,Port Gibbon - Port Gibbon Sanctuary Zone,Franklin Harbor,24.0,HPZ,No-take,Fished
2025-11_PortGibbon_BRUVS,PGCO04_2511,2025-11-14,Port Gibbon - Port Gibbon Sanctuary Zone,Franklin Harbor,24.0,HPZ,No-take,Fished
2025-11_PortGibbon_BRUVS,PGWO01_2511,2025-11-14,Port Gibbon - Port Gibbon Sanctuary Zone,Franklin Harbor,25.0,HPZ,No-take,Fished
2025-11_PortGibbon_BRUVS,PGWO02_2511,2025-11-14,Port Gibbon - Port Gibbon Sanctuary Zone,Franklin Harbor,25.0,HPZ,No-take,Fished
2025-11_PortGibbon_BRUVS,PGWO03_2511,2025-11-14,Port Gibbon - Port Gibbon Sanctuary Zone,Franklin Harbor,25.0,HPZ,No-take,Fished
2025-11_PortGibbon_BRUVS,PGWO04_2511,2025-11-14,Port Gibbon - Port Gibbon Sanctuary Zone,Franklin Harbor,25.0,HPZ,No-take,Fished
2025-11_PortGibbon_BRUVS,PGCI01_2511,2025-11-14,Port Gibbon - Port Gibbon Sanctuary Zone,Franklin Harbor,27.0,SZ,Fished,No-take
2025-11_PortGibbon_BRUVS,PGCI02_2511,2025-11-14,Port Gibbon - Port Gibbon Sanctuary Zone,Franklin Harbor,27.0,SZ,Fished,No-take
2025-11_PortGibbon_BRUVS,PGCI03_2511,2025-11-14,Port Gibbon - Port Gibbon Sanctuary Zone,Franklin Harbor,27.0,SZ,Fished,No-take
2025-11_PortGibbon_BRUVS,PGCI04_2511,2025-11-14,Port Gibbon - Port Gibbon Sanctuary Zone,Franklin Harbor,27.0,SZ,Fished,No-take
2017-18_SA_Shellfish Reefs_StereoBruvs,WI_T01_1704,2017-04-12,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,12.0,SZ,Fished,No-take
2017-18_SA_Shellfish Reefs_StereoBruvs,WI_T01_1711,2017-11-23,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,12.0,SZ,Fished,No-take
2017-18_SA_Shellfish Reefs_StereoBruvs,WI_T01_1804,2018-04-24,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,12.0,SZ,Fished,No-take
2017-18_SA_Shellfish Reefs_StereoBruvs,WI_T01_1811,2018-11-29,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,12.0,SZ,Fished,No-take
2017-18_SA_Shellfish Reefs_StereoBruvs,WI_T02_1704,2017-04-12,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,12.0,SZ,Fished,No-take
2017-18_SA_Shellfish Reefs_StereoBruvs,WI_T02_1711,2017-11-23,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,12.0,SZ,Fished,No-take
2017-18_SA_Shellfish Reefs_StereoBruvs,WI_T02_1804,2018-04-24,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,12.0,SZ,Fished,No-take
2017-18_SA_Shellfish Reefs_StereoBruvs,WI_T02_1811,2018-11-29,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,12.0,SZ,Fished,No-take
2017-18_SA_Shellfish Reefs_StereoBruvs,WI_T03_1704,2017-04-13,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,12.0,SZ,Fished,No-take
2017-18_SA_Shellfish Reefs_StereoBruvs,WI_T03_1711,2017-11-23,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,12.0,SZ,Fished,No-take
2017-18_SA_Shellfish Reefs_StereoBruvs,WI_T03_1804,2018-04-24,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,12.0,SZ,Fished,No-take
2017-18_SA_Shellfish Reefs_StereoBruvs,WI_T03_1811,2018-11-29,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,12.0,SZ,Fished,No-take
2017-18_SA_Shellfish Reefs_StereoBruvs,WI_T04_1704,2017-04-13,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,12.0,SZ,Fished,No-take
2017-18_SA_Shellfish Reefs_StereoBruvs,WI_T04_1711,2017-11-23,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,12.0,SZ,Fished,No-take
2017-18_SA_Shellfish Reefs_StereoBruvs,WI_T04_1804,2018-04-24,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,12.0,SZ,Fished,No-take
2017-18_SA_Shellfish Reefs_StereoBruvs,WI_T04_1811,2018-11-29,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,12.0,SZ,Fished,No-take
201910_SA_Shellfish Reef Monitoring_StereoBruvs,WI_T01_1910,2019-10-22,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,12.0,SZ,Fished,No-take
201910_SA_Shellfish Reef Monitoring_StereoBruvs,WI_T02_1910,2019-10-22,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,12.0,SZ,Fished,No-take
201910_SA_Shellfish Reef Monitoring_StereoBruvs,WI_T03_1910,2019-10-22,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,12.0,SZ,Fished,No-take
201910_SA_Shellfish Reef Monitoring_StereoBruvs,WI_T04_1910,2019-10-22,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,12.0,SZ,Fished,No-take
202010-202010_SA_Shellfish Reef Monitoring_StereoBruvs,WI_T01_2010,2020-10-28,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,12.0,SZ,Fished,No-take
202010-202010_SA_Shellfish Reef Monitoring_StereoBruvs,WI_T02_2010,2020-10-28,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,12.0,SZ,Fished,No-take
202010-202010_SA_Shellfish Reef Monitoring_StereoBruvs,WI_T03_2010,2020-10-28,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,12.0,SZ,Fished,No-take
202010-202010_SA_Shellfish Reef Monitoring_StereoBruvs,WI_T04_2010,2020-10-28,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,12.0,SZ,Fished,No-take
2025-10_Windara_BRUVS,WIT01_2510,2025-10-24,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,12.0,SZ,Fished,No-take
2025-10_Windara_BRUVS,WIT02_2510,2025-10-24,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,12.0,SZ,Fished,No-take
2025-10_Windara_BRUVS,WIT03_2510,2025-10-24,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,12.0,SZ,Fished,No-take
2025-10_Windara_BRUVS,WIT04_2510,2025-10-24,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,12.0,SZ,Fished,No-take
