location,year,status,n_sites_sampled,n_sites_possible,proportion_sites_sampled,total_events,total_transects
Rapid Head,2020,No-take,4,4,1,7,28
Rapid Head,2021,Fished,5,6,0.8333333333333334,5,20
Rapid Head,2021,No-take,4,4,1,4,16
Rapid Head,2022,Fished,5,6,0.8333333333333334,5,20
Rapid Head,2022,No-take,4,4,1,4,16
Rapid Head,2023,Fished,2,6,0.3333333333333333,2,4
Rapid Head,2023,No-take,0,4,0,0,0
Rapid Head,2024,Fished,4,6,0.6666666666666666,4,16
Rapid Head,2024,No-take,2,4,0.5,2,8
Rapid Head,2026,Fished,6,6,1,6,30
Rapid Head,2026,No-take,4,4,1,4,14
Southern Fleurieu,2005,Fished,2,6,0.3333333333333333,2,8
Southern Fleurieu,2007,Fished,4,6,0.6666666666666666,5,17
Southern Fleurieu,2012,Fished,1,6,0.16666666666666666,1,4
Southern Fleurieu,2017,Fished,6,6,1,6,24
Southern Fleurieu,2018,Fished,6,6,1,6,24
Southern Fleurieu,2020,Fished,3,6,0.5,3,12
Southern Fleurieu,2025,Fished,2,6,0.3333333333333333,2,4
Southern Fleurieu,2026,Fished,6,6,1,6,24
Southern Metro,2008,Fished,0,7,0,0,0
Southern Metro,2008,No-take,1,7,0.14285714285714285,1,2
Southern Metro,2011,Fished,0,7,0,0,0
Southern Metro,2011,No-take,1,7,0.14285714285714285,1,2
Southern Metro,2012,Fished,0,7,0,0,0
Southern Metro,2012,No-take,1,7,0.14285714285714285,1,2
Southern Metro,2015,Fished,4,7,0.5714285714285714,4,16
Southern Metro,2015,No-take,0,7,0,0,0
Southern Metro,2016,Fished,7,7,1,11,36
Southern Metro,2016,No-take,4,7,0.5714285714285714,6,16
Southern Metro,2017,Fished,3,7,0.42857142857142855,3,12
Southern Metro,2017,No-take,3,7,0.42857142857142855,3,12
Southern Metro,2018,Fished,3,7,0.42857142857142855,3,12
Southern Metro,2018,No-take,3,7,0.42857142857142855,3,12
Southern Metro,2019,Fished,4,7,0.5714285714285714,8,16
Southern Metro,2019,No-take,2,7,0.2857142857142857,4,8
Southern Metro,2020,Fished,2,7,0.2857142857142857,2,8
Southern Metro,2020,No-take,2,7,0.2857142857142857,2,8
Southern Metro,2021,Fished,2,7,0.2857142857142857,2,8
Southern Metro,2021,No-take,1,7,0.14285714285714285,1,4
Southern Metro,2022,Fished,4,7,0.5714285714285714,8,16
Southern Metro,2022,No-take,4,7,0.5714285714285714,6,16
Southern Metro,2023,Fished,1,7,0.14285714285714285,1,4
Southern Metro,2023,No-take,0,7,0,0,0
Southern Metro,2025,Fished,4,7,0.5714285714285714,8,16
Southern Metro,2025,No-take,2,7,0.2857142857142857,4,8
Southern Metro,2026,Fished,3,7,0.42857142857142855,3,12
Southern Metro,2026,No-take,5,7,0.7142857142857143,5,20
Southern Yorke,2006,Fished,3,3,1,3,12
Southern Yorke,2025,Fished,1,3,0.3333333333333333,1,2
Southern Yorke,2026,Fished,3,3,1,3,12
Sponge Gardens,2005,Fished,0,3,0,0,0
Sponge Gardens,2005,No-take,1,2,0.5,1,8
Sponge Gardens,2006,Fished,0,3,0,0,0
Sponge Gardens,2006,No-take,1,2,0.5,1,8
Sponge Gardens,2007,Fished,0,3,0,0,0
Sponge Gardens,2007,No-take,1,2,0.5,1,8
Sponge Gardens,2012,Fished,0,3,0,0,0
Sponge Gardens,2012,No-take,1,2,0.5,1,4
Sponge Gardens,2016,Fished,3,3,1,3,12
Sponge Gardens,2016,No-take,2,2,1,2,8
Sponge Gardens,2017,Fished,3,3,1,3,12
Sponge Gardens,2017,No-take,2,2,1,2,8
Sponge Gardens,2018,Fished,3,3,1,3,12
Sponge Gardens,2018,No-take,2,2,1,2,8
Sponge Gardens,2019,Fished,3,3,1,3,12
Sponge Gardens,2019,No-take,2,2,1,2,8
Sponge Gardens,2021,Fished,3,3,1,3,12
Sponge Gardens,2021,No-take,2,2,1,2,8
Sponge Gardens,2026,Fished,3,3,1,3,12
Sponge Gardens,2026,No-take,2,2,1,2,8
Upper GSV,2006,Fished,1,5,0.2,1,4
Upper GSV,2015,Fished,3,5,0.6,3,12
Upper GSV,2016,Fished,2,5,0.4,2,8
Upper GSV,2017,Fished,3,5,0.6,3,12
Upper GSV,2018,Fished,3,5,0.6,3,12
Upper GSV,2020,Fished,3,5,0.6,3,12
Upper GSV,2021,Fished,3,5,0.6,3,12
Upper GSV,2025,Fished,5,5,1,5,20
