reporting_name,period,scientific,family,genus,species,common_name,display_name,n_deployments,n_deployments_present,occurrence_percent,occurrence_se,average_abundance,abundance_se
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Blenniidae Omobranchus anolius,Blenniidae,Omobranchus,anolius,Oyster Blenny,<i>Omobranchus anolius</i><br>(Oyster Blenny),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Blenniidae Parablennius tasmanianus,Blenniidae,Parablennius,tasmanianus,Tasmanian Blenny,<i>Parablennius tasmanianus</i><br>(Tasmanian Blenny),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Callionymidae Eocallionymus papilio,Callionymidae,Eocallionymus,papilio,Painted Stinkfish,<i>Eocallionymus papilio</i><br>(Painted Stinkfish),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Callorhinchidae Callorhinchus milii,Callorhinchidae,Callorhinchus,milii,Elephant fish,<i>Callorhinchus milii</i><br>(Elephant fish),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Carangidae Pseudocaranx georgianus,Carangidae,Pseudocaranx,georgianus,Silver trevally,<i>Pseudocaranx georgianus</i><br>(Silver trevally),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Carangidae Pseudocaranx spp,Carangidae,Pseudocaranx,spp,Trevally,<i>Pseudocaranx spp</i><br>(Trevally),24,17,70.83333333333333,9.278048066588465,23.583333333333332,6.73970408186525
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Carangidae Seriola lalandi,Carangidae,Seriola,lalandi,Yellowtail kingfish,<i>Seriola lalandi</i><br>(Yellowtail kingfish),24,3,12.5,6.750771560841522,0.125,0.06895966054592131
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Carangidae Trachurus declivis,Carangidae,Trachurus,declivis,Common jack mackerel,<i>Trachurus declivis</i><br>(Common jack mackerel),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Carangidae Trachurus novaezelandiae,Carangidae,Trachurus,novaezelandiae,Yellowtail scad,<i>Trachurus novaezelandiae</i><br>(Yellowtail scad),24,4,16.666666666666668,7.607257743127308,0.9583333333333334,0.6742660171147208
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Carangidae Trachurus spp,Carangidae,Trachurus,spp,a trevally,<i>Trachurus spp</i><br>(a trevally),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Carcharhinidae Carcharhinus brachyurus,Carcharhinidae,Carcharhinus,brachyurus,Bronze whaler,<i>Carcharhinus brachyurus</i><br>(Bronze whaler),24,3,12.5,6.750771560841522,0.16666666666666666,0.0982946374365981
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Centrolophidae Seriolella brama,Centrolophidae,Seriolella,brama,Common warehou,<i>Seriolella brama</i><br>(Common warehou),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Chaetodontidae Chelmonops curiosus,Chaetodontidae,Chelmonops,curiosus,Western talma,<i>Chelmonops curiosus</i><br>(Western talma),24,5,20.833333333333332,8.289816934939807,0.3333333333333333,0.14328782560351588
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Cheilodactylidae Cheilodactylus nigripes,Cheilodactylidae,Cheilodactylus,nigripes,Magpie Perch,<i>Cheilodactylus nigripes</i><br>(Magpie Perch),24,4,16.666666666666668,7.607257743127308,0.20833333333333334,0.10389457216622948
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Cheilodactylidae Cheilodactylus spectabilis,Cheilodactylidae,Cheilodactylus,spectabilis,Banded Morwong,<i>Cheilodactylus spectabilis</i><br>(Banded Morwong),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Cheilodactylidae Dactylophora nigricans,Cheilodactylidae,Dactylophora,nigricans,Dusky morwong,<i>Dactylophora nigricans</i><br>(Dusky morwong),24,1,4.166666666666667,4.078937543219004,0.041666666666666664,0.04166666666666667
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Cheilodactylidae Nemadactylus macropterus,Cheilodactylidae,Nemadactylus,macropterus,Jackass morwong,<i>Nemadactylus macropterus</i><br>(Jackass morwong),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Cheilodactylidae Nemadactylus valenciennesi,Cheilodactylidae,Nemadactylus,valenciennesi,Queen snapper,<i>Nemadactylus valenciennesi</i><br>(Queen snapper),24,1,4.166666666666667,4.078937543219004,0.041666666666666664,0.04166666666666667
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Chironemidae Chironemus georgianus,Chironemidae,Chironemus,georgianus,Western kelpfish,<i>Chironemus georgianus</i><br>(Western kelpfish),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Chironemidae Chironemus maculosus,Chironemidae,Chironemus,maculosus,Silver spot,<i>Chironemus maculosus</i><br>(Silver spot),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Clupeidae Hyperlophus vittatus,Clupeidae,Hyperlophus,vittatus,Sandy sprat,<i>Hyperlophus vittatus</i><br>(Sandy sprat),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Conidae Conidae spp,Conidae,Conidae,spp,Conidae Conidae spp,<i>Conidae spp</i><br>(Conidae Conidae spp),24,1,4.166666666666667,4.078937543219004,0.041666666666666664,0.04166666666666667
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Dasyatidae Bathytoshia brevicaudata,Dasyatidae,Bathytoshia,brevicaudata,Smooth ray,<i>Bathytoshia brevicaudata</i><br>(Smooth ray),24,2,8.333333333333334,5.64169333655275,0.08333333333333333,0.05763033956734372
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Delphinidae Tursiops aduncus,Delphinidae,Tursiops,aduncus,Indo-pacific bottlenose dolphin,<i>Tursiops aduncus</i><br>(Indo-pacific bottlenose dolphin),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Delphinidae Tursiops spp,Delphinidae,Tursiops,spp,Bottlenose dolphin,<i>Tursiops spp</i><br>(Bottlenose dolphin),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Dinolestidae Dinolestes lewini,Dinolestidae,Dinolestes,lewini,Longfin pike,<i>Dinolestes lewini</i><br>(Longfin pike),24,3,12.5,6.750771560841522,3.5416666666666665,2.6258050295366746
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Diodontidae Allomycterus pilatus,Diodontidae,Allomycterus,pilatus,Australian Burrfish,<i>Allomycterus pilatus</i><br>(Australian Burrfish),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Diodontidae Diodon nicthemerus,Diodontidae,Diodon,nicthemerus,Globefish,<i>Diodon nicthemerus</i><br>(Globefish),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Diogenidae Diogenes spp,Diogenidae,Diogenes,spp,Diogenidae Diogenes spp,<i>Diogenes spp</i><br>(Diogenidae Diogenes spp),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Diogenidae Diogenidae spp,Diogenidae,Diogenidae,spp,Hermit crab,<i>Diogenidae spp</i><br>(Hermit crab),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Diogenidae Paguristes frontalis,Diogenidae,Paguristes,frontalis,Common hermit crab,<i>Paguristes frontalis</i><br>(Common hermit crab),24,2,8.333333333333334,5.64169333655275,0.16666666666666666,0.13003158293424902
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Dromiidae Austrodromidia octodentata,Dromiidae,Austrodromidia,octodentata,Sponge crab,<i>Austrodromidia octodentata</i><br>(Sponge crab),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Engraulidae Engraulis australis,Engraulidae,Engraulis,australis,Anchovy,<i>Engraulis australis</i><br>(Anchovy),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Enoplosidae Enoplosus armatus,Enoplosidae,Enoplosus,armatus,Old wife,<i>Enoplosus armatus</i><br>(Old wife),24,1,4.166666666666667,4.078937543219004,0.08333333333333333,0.08333333333333334
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Fasciolariidae Australaria australasia,Fasciolariidae,Australaria,australasia,Tulip shell,<i>Australaria australasia</i><br>(Tulip shell),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Gastropteridae Sagaminopteron ornatum,Gastropteridae,Sagaminopteron,ornatum,Batwing seaslug,<i>Sagaminopteron ornatum</i><br>(Batwing seaslug),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Gempylidae Thyrsites atun,Gempylidae,Thyrsites,atun,Barracouta,<i>Thyrsites atun</i><br>(Barracouta),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Gerreidae Parequula elongata,Gerreidae,Parequula,elongata,a silverbiddy,<i>Parequula elongata</i><br>(a silverbiddy),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Gerreidae Parequula melbournensis,Gerreidae,Parequula,melbournensis,Silverbelly,<i>Parequula melbournensis</i><br>(Silverbelly),24,9,37.5,9.882117688026186,2.5833333333333335,0.8783149765702694
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Girellidae Girella zebra,Girellidae,Girella,zebra,Zebra fish,<i>Girella zebra</i><br>(Zebra fish),24,3,12.5,6.750771560841522,0.16666666666666666,0.0982946374365981
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Gobiesocidae Gobiesocidae spp,Gobiesocidae,Gobiesocidae,spp,Clingfish,<i>Gobiesocidae spp</i><br>(Clingfish),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Gobiidae Gobiidae spp,Gobiidae,Gobiidae,spp,Goby,<i>Gobiidae spp</i><br>(Goby),24,2,8.333333333333334,5.64169333655275,0.08333333333333333,0.05763033956734372
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Gobiidae Nesogobius pulchellus,Gobiidae,Nesogobius,pulchellus,Sailfin Goby,<i>Nesogobius pulchellus</i><br>(Sailfin Goby),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Gobiidae Nesogobius spp,Gobiidae,Nesogobius,spp,Gobiidae Nesogobius spp,<i>Nesogobius spp</i><br>(Gobiidae Nesogobius spp),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Hemiramphidae Hyporhamphus melanochir,Hemiramphidae,Hyporhamphus,melanochir,Southern garfish,<i>Hyporhamphus melanochir</i><br>(Southern garfish),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Heterodontidae Heterodontus portusjacksoni,Heterodontidae,Heterodontus,portusjacksoni,Port Jackson shark,<i>Heterodontus portusjacksoni</i><br>(Port Jackson shark),24,3,12.5,6.750771560841522,0.125,0.06895966054592131
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Hexanchidae Heptranchias perlo,Hexanchidae,Heptranchias,perlo,Sharpnose Sevengill Shark,<i>Heptranchias perlo</i><br>(Sharpnose Sevengill Shark),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Hexanchidae Notorynchus cepedianus,Hexanchidae,Notorynchus,cepedianus,Sevengill shark,<i>Notorynchus cepedianus</i><br>(Sevengill shark),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Kyphosidae Kyphosus sydneyanus,Kyphosidae,Kyphosus,sydneyanus,Silver drummer,<i>Kyphosus sydneyanus</i><br>(Silver drummer),24,7,29.166666666666668,9.278048066588465,0.9583333333333334,0.7031996404290299
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Labridae Achoerodus gouldii,Labridae,Achoerodus,gouldii,Western blue groper,<i>Achoerodus gouldii</i><br>(Western blue groper),24,2,8.333333333333334,5.64169333655275,0.08333333333333333,0.05763033956734372
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Labridae Austrolabrus maculatus,Labridae,Austrolabrus,maculatus,Black-spotted wrasse,<i>Austrolabrus maculatus</i><br>(Black-spotted wrasse),24,10,41.666666666666664,10.063456073742664,1.0416666666666667,0.2916666666666667
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Labridae Bodianus frenchii,Labridae,Bodianus,frenchii,Foxfish,<i>Bodianus frenchii</i><br>(Foxfish),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Labridae Dotalabrus aurantiacus,Labridae,Dotalabrus,aurantiacus,Castelnau's wrasse,<i>Dotalabrus aurantiacus</i><br>(Castelnau's wrasse),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Labridae Eupetrichthys angustipes,Labridae,Eupetrichthys,angustipes,Snakeskin wrasse,<i>Eupetrichthys angustipes</i><br>(Snakeskin wrasse),24,1,4.166666666666667,4.078937543219004,0.041666666666666664,0.04166666666666667
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Labridae Haletta semifasciata,Labridae,Haletta,semifasciata,Blue weed whiting,<i>Haletta semifasciata</i><br>(Blue weed whiting),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Labridae Haletta spp,Labridae,Haletta,spp,Labridae Haletta spp,<i>Haletta spp</i><br>(Labridae Haletta spp),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Labridae Heteroscarus acroptilus,Labridae,Heteroscarus,acroptilus,Rainbow cale,<i>Heteroscarus acroptilus</i><br>(Rainbow cale),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Labridae Neoodax balteatus,Labridae,Neoodax,balteatus,Little weed whiting,<i>Neoodax balteatus</i><br>(Little weed whiting),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Labridae Notolabrus fucicola,Labridae,Notolabrus,fucicola,Purple wrasse,<i>Notolabrus fucicola</i><br>(Purple wrasse),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Labridae Notolabrus parilus,Labridae,Notolabrus,parilus,Brownspotted wrasse,<i>Notolabrus parilus</i><br>(Brownspotted wrasse),24,11,45.833333333333336,10.170707302692229,0.9583333333333334,0.28538790450656343
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Labridae Notolabrus tetricus,Labridae,Notolabrus,tetricus,Bluethroat wrasse,<i>Notolabrus tetricus</i><br>(Bluethroat wrasse),24,6,25,8.838834764831844,0.2916666666666667,0.11227500313294325
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Labridae Olisthops cyanomelas,Labridae,Olisthops,cyanomelas,Herring cale,<i>Olisthops cyanomelas</i><br>(Herring cale),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Labridae Ophthalmolepis lineolatus,Labridae,Ophthalmolepis,lineolatus,Maori wrasse,<i>Ophthalmolepis lineolatus</i><br>(Maori wrasse),24,2,8.333333333333334,5.64169333655275,0.16666666666666666,0.13003158293424902
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Labridae Pictilabrus laticlavius,Labridae,Pictilabrus,laticlavius,Senator wrasse,<i>Pictilabrus laticlavius</i><br>(Senator wrasse),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Labridae Siphonognathus attenuatus,Labridae,Siphonognathus,attenuatus,Slender weed whiting,<i>Siphonognathus attenuatus</i><br>(Slender weed whiting),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Labridae Siphonognathus beddomei,Labridae,Siphonognathus,beddomei,Pencil weed whiting,<i>Siphonognathus beddomei</i><br>(Pencil weed whiting),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Labridae Siphonognathus caninis,Labridae,Siphonognathus,caninis,Sharpnose weed whiting,<i>Siphonognathus caninis</i><br>(Sharpnose weed whiting),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Labridae Siphonognathus radiatus,Labridae,Siphonognathus,radiatus,Longray weed whiting,<i>Siphonognathus radiatus</i><br>(Longray weed whiting),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Labridae Siphonognathus spp,Labridae,Siphonognathus,spp,Labridae Siphonognathus spp,<i>Siphonognathus spp</i><br>(Labridae Siphonognathus spp),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Labridae Siphonognathus tanyourus,Labridae,Siphonognathus,tanyourus,Longtail weed whiting,<i>Siphonognathus tanyourus</i><br>(Longtail weed whiting),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Lamnidae Carcharodon carcharias,Lamnidae,Carcharodon,carcharias,White shark,<i>Carcharodon carcharias</i><br>(White shark),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Loliginidae Sepioteuthis australis,Loliginidae,Sepioteuthis,australis,Southern calamari,<i>Sepioteuthis australis</i><br>(Southern calamari),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Majidae Leptomithrax gaimardii,Majidae,Leptomithrax,gaimardii,Spider crab,<i>Leptomithrax gaimardii</i><br>(Spider crab),24,4,16.666666666666668,7.607257743127308,0.16666666666666666,0.07770873402002616
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Majidae Naxia aurita,Majidae,Naxia,aurita,Decorator crab,<i>Naxia aurita</i><br>(Decorator crab),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Microcanthidae Neatypus obliquus,Microcanthidae,Neatypus,obliquus,Footballer sweep,<i>Neatypus obliquus</i><br>(Footballer sweep),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Microcanthidae Tilodon sexfasciatus,Microcanthidae,Tilodon,sexfasciatus,Moonlighter,<i>Tilodon sexfasciatus</i><br>(Moonlighter),24,3,12.5,6.750771560841522,0.16666666666666666,0.0982946374365981
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Monacanthidae Acanthaluteres brownii,Monacanthidae,Acanthaluteres,brownii,Spiny-tailed leatherjacket,<i>Acanthaluteres brownii</i><br>(Spiny-tailed leatherjacket),24,1,4.166666666666667,4.078937543219004,0.041666666666666664,0.04166666666666667
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Monacanthidae Acanthaluteres spilomelanurus,Monacanthidae,Acanthaluteres,spilomelanurus,Bridled leatherjacket,<i>Acanthaluteres spilomelanurus</i><br>(Bridled leatherjacket),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Monacanthidae Acanthaluteres vittiger,Monacanthidae,Acanthaluteres,vittiger,Toothbrush leatherjacket,<i>Acanthaluteres vittiger</i><br>(Toothbrush leatherjacket),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Monacanthidae Brachaluteres jacksonianus,Monacanthidae,Brachaluteres,jacksonianus,Southern Pygmy leatherjacket,<i>Brachaluteres jacksonianus</i><br>(Southern Pygmy leatherjacket),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Monacanthidae Eubalichthys cyanoura,Monacanthidae,Eubalichthys,cyanoura,Bluetail leatherjacket,<i>Eubalichthys cyanoura</i><br>(Bluetail leatherjacket),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Monacanthidae Eubalichthys gunnii,Monacanthidae,Eubalichthys,gunnii,Gunn's leatherjacket,<i>Eubalichthys gunnii</i><br>(Gunn's leatherjacket),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Monacanthidae Eubalichthys mosaicus,Monacanthidae,Eubalichthys,mosaicus,Mosaic leatherjacket,<i>Eubalichthys mosaicus</i><br>(Mosaic leatherjacket),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Monacanthidae Meuschenia australis,Monacanthidae,Meuschenia,australis,Southern leatherjacket,<i>Meuschenia australis</i><br>(Southern leatherjacket),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Monacanthidae Meuschenia flavolineata,Monacanthidae,Meuschenia,flavolineata,Yellow-striped leatherjacket,<i>Meuschenia flavolineata</i><br>(Yellow-striped leatherjacket),24,1,4.166666666666667,4.078937543219004,0.041666666666666664,0.04166666666666667
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Monacanthidae Meuschenia freycineti,Monacanthidae,Meuschenia,freycineti,Six-spined leatherjacket,<i>Meuschenia freycineti</i><br>(Six-spined leatherjacket),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Monacanthidae Meuschenia galii,Monacanthidae,Meuschenia,galii,Blue-lined leatherjacket,<i>Meuschenia galii</i><br>(Blue-lined leatherjacket),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Monacanthidae Meuschenia hippocrepis,Monacanthidae,Meuschenia,hippocrepis,Horseshoe leatherjacket,<i>Meuschenia hippocrepis</i><br>(Horseshoe leatherjacket),24,1,4.166666666666667,4.078937543219004,0.041666666666666664,0.04166666666666667
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Monacanthidae Meuschenia scabra,Monacanthidae,Meuschenia,scabra,Velvet Leatherjacket,<i>Meuschenia scabra</i><br>(Velvet Leatherjacket),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Monacanthidae Meuschenia venusta,Monacanthidae,Meuschenia,venusta,Stars and stripes leatherjacket,<i>Meuschenia venusta</i><br>(Stars and stripes leatherjacket),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Monacanthidae Monacanthidae juvenile,Monacanthidae,Monacanthidae,juvenile,Leatherjacket juvenile,<i>Monacanthidae juvenile</i><br>(Leatherjacket juvenile),24,0,0,0,0,0
