transect_uid,survey_id,site_name,survey_date,scientific,portal_name,total,method
812301121 Transect_812301121_2007-02-21_5.1,812301121,Rapid Head,2007-02-21,Apogonidae Siphamia cephalotes,Siphamia cephalotes,330,M1_fish
812301252 Transect_812301252_2007-02-25_5.2,812301252,Dodd's Beach,2007-02-25,Apogonidae Siphamia cephalotes,Siphamia cephalotes,300,M1_fish
912349794 Transect_912349794_2016-02-19_8.3,912349794,Semaphore,2016-02-19,Apogonidae Siphamia cephalotes,Siphamia cephalotes,300,M1_fish
912351048 Transect_912351048_2018-02-06_2.1,912351048,Yankalilla Mouth,2018-02-06,Apogonidae Siphamia cephalotes,Siphamia cephalotes,300,M1_fish
923401063 Transect_923401063_2022-02-12_5.3,923401063,Lasseters Reef,2022-02-12,Apogonidae Siphamia cephalotes,Siphamia cephalotes,300,M1_fish
912353693 Transect_912353693_2020-03-26_5.1,912353693,Myponga,2020-03-26,Apogonidae Siphamia cephalotes,Siphamia cephalotes,295,M1_fish
912351064 Transect_912351064_2018-02-19_5.1,912351064,Myponga,2018-02-19,Apogonidae Siphamia cephalotes,Siphamia cephalotes,280,M1_fish
812301772 Transect_812301772_2007-02-22_5.2,812301772,Ripple Rock,2007-02-22,Apogonidae Siphamia cephalotes,Siphamia cephalotes,270,M1_fish
812301101 Transect_812301101_2005-03-09_5.1,812301101,Rapid Head,2005-03-09,Apogonidae Siphamia cephalotes,Siphamia cephalotes,263,M1_fish
912350889 Transect_912350889_2018-02-11_5.1,912350889,Grassy Knoll,2018-02-11,Apogonidae Siphamia cephalotes,Siphamia cephalotes,255,M1_fish
923401041 Transect_923401041_2022-02-14_5.3,923401041,2nd Valley Boat Shed,2022-02-14,Apogonidae Siphamia cephalotes,Siphamia cephalotes,250,M1_fish
912353646 Transect_912353646_2020-02-13_8.2,912353646,Semaphore,2020-02-13,Apogonidae Siphamia cephalotes,Siphamia cephalotes,245,M1_fish
812319834 Transect_812319834_2006-04-20_2.4,812319834,Port Julia,2006-04-20,Apogonidae Siphamia cephalotes,Siphamia cephalotes,240,M1_fish
912353647 Transect_912353647_2020-02-13_8.4,912353647,Semaphore,2020-02-13,Apogonidae Siphamia cephalotes,Siphamia cephalotes,240,M1_fish
912350928 Transect_912350928_2018-03-07_5.2,912350928,Dodd's Beach,2018-03-07,Apogonidae Siphamia cephalotes,Siphamia cephalotes,220,M1_fish
923400383 Transect_923400383_2021-03-20_5.2,923400383,Lasseters Reef,2021-03-20,Apogonidae Siphamia cephalotes,Siphamia cephalotes,220,M1_fish
923400410 Transect_923400410_2021-03-19_10.3,923400410,Port Gawler,2021-03-19,Apogonidae Siphamia cephalotes,Siphamia cephalotes,220,M1_fish
912353927 Transect_912353927_2020-02-07_7.2,912353927,2nd Valley Boat Shed,2020-02-07,Apogonidae Siphamia cephalotes,Siphamia cephalotes,200,M1_fish
923401047 Transect_923401047_2022-04-05_10.4,923401047,Broken Bottom,2022-04-05,Apogonidae Siphamia cephalotes,Siphamia cephalotes,200,M1_fish
923401074 Transect_923401074_2022-04-05_10.1,923401074,Broken Bottom,2022-04-05,Apogonidae Siphamia cephalotes,Siphamia cephalotes,200,M1_fish
923403139 Transect_923403139_2024-02-20_5.2,923403139,Lasseters Reef,2024-02-20,Apogonidae Siphamia cephalotes,Siphamia cephalotes,200,M1_fish
812301254 Transect_812301254_2007-02-25_5.4,812301254,Dodd's Beach,2007-02-25,Apogonidae Siphamia cephalotes,Siphamia cephalotes,180,M1_fish
912353919 Transect_912353919_2020-02-09_5.3,912353919,Dodd's Beach,2020-02-09,Apogonidae Siphamia cephalotes,Siphamia cephalotes,180,M1_fish
923400346 Transect_923400346_2021-03-20_5.4,923400346,2nd Valley Boat Shed,2021-03-20,Apogonidae Siphamia cephalotes,Siphamia cephalotes,160,M1_fish
912353910 Transect_912353910_2020-02-07_5.3,912353910,Lasseters Reef,2020-02-07,Apogonidae Siphamia cephalotes,Siphamia cephalotes,150,M1_fish
923400347 Transect_923400347_2021-03-20_5.3,923400347,2nd Valley Boat Shed,2021-03-20,Apogonidae Siphamia cephalotes,Siphamia cephalotes,130,M1_fish
912349866 Transect_912349866_2017-04-04_5.3,912349866,Dodd's Beach,2017-04-04,Apogonidae Siphamia cephalotes,Siphamia cephalotes,115,M1_fish
912349867 Transect_912349867_2017-04-04_5.2,912349867,Dodd's Beach,2017-04-04,Apogonidae Siphamia cephalotes,Siphamia cephalotes,115,M1_fish
912351102 Transect_912351102_2018-01-26_5.3,912351102,Port Parham,2018-01-26,Apogonidae Siphamia cephalotes,Siphamia cephalotes,110,M1_fish
912352570 Transect_912352570_2019-02-18_5.2,912352570,Rapid Head East,2019-02-18,Apogonidae Siphamia cephalotes,Siphamia cephalotes,105,M1_fish
912353645 Transect_912353645_2020-02-13_8.1,912353645,Semaphore,2020-02-13,Apogonidae Siphamia cephalotes,Siphamia cephalotes,105,M1_fish
923401076 Transect_923401076_2022-02-13_5.2,923401076,Aldinga Reef,2022-02-13,Apogonidae Siphamia cephalotes,Siphamia cephalotes,105,M1_fish
912352730 Transect_912352730_2019-03-15_5.1,912352730,Marino Rocks,2019-03-15,Apogonidae Siphamia cephalotes,Siphamia cephalotes,103,M1_fish
912349795 Transect_912349795_2016-02-19_8.2,912349795,Semaphore,2016-02-19,Apogonidae Siphamia cephalotes,Siphamia cephalotes,100,M1_fish
923401060 Transect_923401060_2022-02-12_5.2,923401060,Rapid Head SZ Site2,2022-02-12,Apogonidae Siphamia cephalotes,Siphamia cephalotes,100,M1_fish
923401066 Transect_923401066_2022-02-14_5.2,923401066,2nd Valley Boat Shed,2022-02-14,Apogonidae Siphamia cephalotes,Siphamia cephalotes,100,M1_fish
923401809 Transect_923401809_2023-02-20_5.4,923401809,Ripple Rock,2023-02-20,Apogonidae Siphamia cephalotes,Siphamia cephalotes,100,M1_fish
923401824 Transect_923401824_2023-02-20_5.3,923401824,Ripple Rock,2023-02-20,Apogonidae Siphamia cephalotes,Siphamia cephalotes,100,M1_fish
923401825 Transect_923401825_2023-02-20_5.4,923401825,Carrickalinga Head,2023-02-20,Apogonidae Siphamia cephalotes,Siphamia cephalotes,100,M1_fish
912349820 Transect_912349820_2016-03-11_4.1,912349820,Marino Rocks,2016-03-11,Apogonidae Siphamia cephalotes,Siphamia cephalotes,98,M1_fish
912353931 Transect_912353931_2020-02-08_5.2,912353931,Rapid Head East,2020-02-08,Apogonidae Siphamia cephalotes,Siphamia cephalotes,90,M1_fish
812301042 Transect_812301042_2005-03-08_5.2,812301042,Haycock Point,2005-03-08,Apogonidae Siphamia cephalotes,Siphamia cephalotes,82,M1_fish
812327124 Transect_812327124_2016-03-10_5.4,812327124,Rapid Head,2016-03-10,Apogonidae Siphamia cephalotes,Siphamia cephalotes,80,M1_fish
912353928 Transect_912353928_2020-02-07_5.1,912353928,Lasseters Reef,2020-02-07,Apogonidae Siphamia cephalotes,Siphamia cephalotes,80,M1_fish
923400413 Transect_923400413_2021-03-01_8.2,923400413,Semaphore,2021-03-01,Apogonidae Siphamia cephalotes,Siphamia cephalotes,80,M1_fish
923401045 Transect_923401045_2022-02-12_5.2,923401045,Lasseters Reef,2022-02-12,Apogonidae Siphamia cephalotes,Siphamia cephalotes,80,M1_fish
923403148 Transect_923403148_2024-02-20_5.4,923403148,2nd Valley Boat Shed,2024-02-20,Apogonidae Siphamia cephalotes,Siphamia cephalotes,80,M1_fish
812301251 Transect_812301251_2007-02-25_5.1,812301251,Dodd's Beach,2007-02-25,Apogonidae Siphamia cephalotes,Siphamia cephalotes,77,M1_fish
812301774 Transect_812301774_2007-02-22_5.4,812301774,Ripple Rock,2007-02-22,Apogonidae Siphamia cephalotes,Siphamia cephalotes,75,M1_fish
812301093 Transect_812301093_2007-02-22_5.3,812301093,Carrickalinga Head,2007-02-22,Apogonidae Siphamia cephalotes,Siphamia cephalotes,65,M1_fish
912346998 Transect_912346998_2017-03-24_5,912346998,Rapid Head,2017-03-24,Apogonidae Siphamia cephalotes,Siphamia cephalotes,65,M1_fish
812301041 Transect_812301041_2005-03-08_5.1,812301041,Haycock Point,2005-03-08,Apogonidae Siphamia cephalotes,Siphamia cephalotes,62,M1_fish
812301234 Transect_812301234_2005-03-11_5.4,812301234,Dodd's Beach,2005-03-11,Apogonidae Siphamia cephalotes,Siphamia cephalotes,60,M1_fish
812301771 Transect_812301771_2007-02-22_5.1,812301771,Ripple Rock,2007-02-22,Apogonidae Siphamia cephalotes,Siphamia cephalotes,60,M1_fish
912350961 Transect_912350961_2018-03-13_5,912350961,Myponga South,2018-03-13,Apogonidae Siphamia cephalotes,Siphamia cephalotes,60,M1_fish
912353914 Transect_912353914_2020-02-08_5.4,912353914,Rapid Head East,2020-02-08,Apogonidae Siphamia cephalotes,Siphamia cephalotes,60,M1_fish
923400341 Transect_923400341_2021-03-10_5.2,923400341,Rapid Head South,2021-03-10,Apogonidae Siphamia cephalotes,Siphamia cephalotes,60,M1_fish
923403130 Transect_923403130_2024-02-20_5.3,923403130,2nd Valley Boat Shed,2024-02-20,Apogonidae Siphamia cephalotes,Siphamia cephalotes,60,M1_fish
912353648 Transect_912353648_2020-02-13_8.3,912353648,Semaphore,2020-02-13,Apogonidae Siphamia cephalotes,Siphamia cephalotes,58,M1_fish
912352617 Transect_912352617_2019-02-28_5.4,912352617,Dodd's Beach,2019-02-28,Apogonidae Siphamia cephalotes,Siphamia cephalotes,55,M1_fish
912353930 Transect_912353930_2020-02-08_5.1,912353930,Rapid Head East,2020-02-08,Apogonidae Siphamia cephalotes,Siphamia cephalotes,55,M1_fish
923400415 Transect_923400415_2021-03-01_8.3,923400415,Semaphore,2021-03-01,Apogonidae Siphamia cephalotes,Siphamia cephalotes,54,M1_fish
923406689 Transect_923406689_2026-03-25_5.1,923406689,The Bluff,2026-03-25,Arripidae Arripis georgianus,Arripis georgianus,159,M1_fish
923406651 Transect_923406651_2026-01-30_5.4,923406651,Aldinga SZ3,2026-01-30,Arripidae Arripis georgianus,Arripis georgianus,120,M1_fish
923406703 Transect_923406703_2026-03-25_5.4,923406703,The Bluff,2026-03-25,Arripidae Arripis georgianus,Arripis georgianus,113,M1_fish
912345664 Transect_912345664_2013-11-02_5.1,912345664,Whalebone Reef,2013-11-02,Arripidae Arripis georgianus,Arripis georgianus,60,M1_fish
5000355 Transect_5000355_2008-02-06_3.5,5000355,2nd Valley Boat Shed,2008-02-06,Arripidae Arripis truttaceus,Arripis truttaceus,400,M1_fish
912351041 Transect_912351041_2018-01-23_3.3,912351041,Noarlunga South Outside,2018-01-23,Arripidae Arripis truttaceus,Arripis truttaceus,300,M1_fish
5000357 Transect_5000357_2008-02-06_6,5000357,2nd Valley Boat Shed,2008-02-06,Arripidae Arripis truttaceus,Arripis truttaceus,250,M1_fish
5000358 Transect_5000358_2008-02-06_6.1,5000358,2nd Valley Boat Shed,2008-02-06,Arripidae Arripis truttaceus,Arripis truttaceus,235,M1_fish
923406746 Transect_923406746_2025-11-26_1.2,923406746,Port Julia,2025-11-26,Arripidae Arripis truttaceus,Arripis truttaceus,120,M1_fish
5000349 Transect_5000349_2008-02-05_4,5000349,Lasseters Reef,2008-02-05,Arripidae Arripis truttaceus,Arripis truttaceus,90,M1_fish
812324304 Transect_812324304_2012-01-31_5.4,812324304,Nev's Windmills,2012-01-31,Carangidae Pseudocaranx spp,Pseudocaranx spp,120,M1_fish
912352722 Transect_912352722_2019-03-20_11.1,912352722,Horseshoe outer,2019-03-20,Carangidae Pseudocaranx spp,Pseudocaranx spp,100,M1_fish
912351005 Transect_912351005_2018-01-27_5.3,912351005,Outside Granite island,2018-01-27,Carangidae Pseudocaranx spp,Pseudocaranx spp,70,M1_fish
812301773 Transect_812301773_2007-02-22_5.3,812301773,Ripple Rock,2007-02-22,Carangidae Pseudocaranx spp,Pseudocaranx spp,60,M1_fish
923406579 Transect_923406579_2026-02-12_5.2,923406579,Rapid Head SZ,2026-02-12,Chaetodontidae Chelmonops curiosus,Chelmonops curiosus,66,M1_fish
923406566 Transect_923406566_2026-01-13_5.4,923406566,Ripple Rock,2026-01-13,Cheilodactylidae Cheilodactylus nigripes,Cheilodactylus nigripes,51,M1_fish
912350995 Transect_912350995_2018-02-20_2,912350995,Normanville Beach,2018-02-20,Clupeidae Hyperlophus vittatus,Hyperlophus vittatus,200,M1_fish
5000351 Transect_5000351_2008-02-07_5.5,5000351,Lasseters Reef,2008-02-07,Clupeidae Spratelloides robustus,Spratelloides robustus,905,M1_fish
912349941 Transect_912349941_2017-03-09_5.2,912349941,Penneshaw Pub,2017-03-09,Clupeidae Spratelloides robustus,Spratelloides robustus,400,M1_fish
912347001 Transect_912347001_2017-03-25_5,912347001,Rapid Head East,2017-03-25,Clupeidae Unknown spp,Clupeidae spp,800,M1_fish
912350444 Transect_912350444_2017-02-14_2.3,912350444,Lady Bay,2017-02-14,Clupeidae Unknown spp,Clupeidae spp,231,M1_fish
912350478 Transect_912350478_2017-03-15_2,912350478,Normanville Beach,2017-03-15,Clupeidae Unknown spp,Clupeidae spp,200,M1_fish
912350453 Transect_912350453_2017-02-16_8.2,912350453,Semaphore,2017-02-16,Clupeidae Unknown spp,Clupeidae spp,170,M1_fish
912350996 Transect_912350996_2018-02-20_2.1,912350996,Normanville Beach,2018-02-20,Clupeidae Unknown spp,Clupeidae spp,100,M1_fish
912350443 Transect_912350443_2017-02-14_2.1,912350443,Lady Bay,2017-02-14,Clupeidae Unknown spp,Clupeidae spp,80,M1_fish
923403614 Transect_923403614_2023-12-21_6,923403614,2nd Valley Boat Shed,2023-12-21,Dinolestidae Dinolestes lewini,Dinolestes lewini,150,M1_fish
923403130 Transect_923403130_2024-02-20_5.3,923403130,2nd Valley Boat Shed,2024-02-20,Dinolestidae Dinolestes lewini,Dinolestes lewini,140,M1_fish
912353927 Transect_912353927_2020-02-07_7.2,912353927,2nd Valley Boat Shed,2020-02-07,Dinolestidae Dinolestes lewini,Dinolestes lewini,138,M1_fish
812301301 Transect_812301301_2005-03-12_5.1,812301301,Outside Granite island,2005-03-12,Dinolestidae Dinolestes lewini,Dinolestes lewini,100,M1_fish
923401045 Transect_923401045_2022-02-12_5.2,923401045,Lasseters Reef,2022-02-12,Dinolestidae Dinolestes lewini,Dinolestes lewini,96,M1_fish
912352572 Transect_912352572_2019-02-18_5.2,912352572,2nd Valley Boat Shed,2019-02-18,Dinolestidae Dinolestes lewini,Dinolestes lewini,92,M1_fish
912353912 Transect_912353912_2020-02-09_5.3,912353912,Carrickalinga Head,2020-02-09,Dinolestidae Dinolestes lewini,Dinolestes lewini,90,M1_fish
923401063 Transect_923401063_2022-02-12_5.3,923401063,Lasseters Reef,2022-02-12,Dinolestidae Dinolestes lewini,Dinolestes lewini,90,M1_fish
923406638 Transect_923406638_2026-02-09_5.2,923406638,Carrickalinga (toilet),2026-02-09,Dinolestidae Dinolestes lewini,Dinolestes lewini,90,M1_fish
912352550 Transect_912352550_2019-02-16_5.2,912352550,Cable Hut,2019-02-16,Dinolestidae Dinolestes lewini,Dinolestes lewini,80,M1_fish
923401835 Transect_923401835_2023-02-19_5.2,923401835,Lasseters Reef,2023-02-19,Dinolestidae Dinolestes lewini,Dinolestes lewini,80,M1_fish
923401847 Transect_923401847_2023-02-19_5.3,923401847,Lasseters Reef,2023-02-19,Dinolestidae Dinolestes lewini,Dinolestes lewini,80,M1_fish
912349948 Transect_912349948_2017-03-08_5,912349948,Puzzle Rock,2017-03-08,Dinolestidae Dinolestes lewini,Dinolestes lewini,70,M1_fish
912352580 Transect_912352580_2019-02-16_5.3,912352580,Cable Hut,2019-02-16,Dinolestidae Dinolestes lewini,Dinolestes lewini,70,M1_fish
912352543 Transect_912352543_2019-02-15_5.1,912352543,Pancake Rock,2019-02-15,Dinolestidae Dinolestes lewini,Dinolestes lewini,60,M1_fish
912353192 Transect_912353192_2019-03-24_5.2,912353192,Lasseters Reef,2019-03-24,Dinolestidae Dinolestes lewini,Dinolestes lewini,60,M1_fish
812301093 Transect_812301093_2007-02-22_5.3,812301093,Carrickalinga Head,2007-02-22,Dinolestidae Dinolestes lewini,Dinolestes lewini,59,M1_fish
812327341 Transect_812327341_2016-03-16_5.1,812327341,Puzzle Rock,2016-03-16,Enoplosidae Enoplosus armatus,Enoplosus armatus,203,M1_fish
812301124 Transect_812301124_2007-02-21_5.4,812301124,Rapid Head,2007-02-21,Enoplosidae Enoplosus armatus,Enoplosus armatus,102,M1_fish
912345640 Transect_912345640_2013-03-06_5.1,912345640,The Bluff,2013-03-06,Enoplosidae Enoplosus armatus,Enoplosus armatus,76,M1_fish
812301104 Transect_812301104_2005-03-09_5.4,812301104,Rapid Head,2005-03-09,Enoplosidae Enoplosus armatus,Enoplosus armatus,54,M1_fish
812325262 Transect_812325262_2013-02-26_5.2,812325262,Rapid Head East,2013-02-26,Enoplosidae Enoplosus armatus,Enoplosus armatus,51,M1_fish
923406611 Transect_923406611_2026-01-29_5.1,923406611,Aldinga SZ1,2026-01-29,Girellidae Girella zebra,Girella zebra,233,M1_fish
923406626 Transect_923406626_2026-01-29_5.2,923406626,Aldinga SZ1,2026-01-29,Girellidae Girella zebra,Girella zebra,108,M1_fish
912353936 Transect_912353936_2020-02-09_5.1,912353936,Carrickalinga Head,2020-02-09,Girellidae Girella zebra,Girella zebra,87,M1_fish
912352552 Transect_912352552_2019-02-16_5.2,912352552,Penneshaw Pub,2019-02-16,Girellidae Girella zebra,Girella zebra,75,M1_fish
812327282 Transect_812327282_2016-03-12_5.2,812327282,Carrickalinga North Site 2,2016-03-12,Girellidae Girella zebra,Girella zebra,70,M1_fish
812327321 Transect_812327321_2016-03-16_5.1,812327321,Penneshaw Pub,2016-03-16,Girellidae Girella zebra,Girella zebra,60,M1_fish
912349691 Transect_912349691_2017-03-07_5.3,912349691,Carrickalinga North Site,2017-03-07,Girellidae Girella zebra,Girella zebra,56,M1_fish
912352582 Transect_912352582_2019-02-16_5.3,912352582,Penneshaw Pub,2019-02-16,Girellidae Girella zebra,Girella zebra,55,M1_fish
912350517 Transect_912350517_2017-03-23_4.3,912350517,Southport,2017-03-23,Girellidae Girella zebra,Girella zebra,51,M1_fish
912353937 Transect_912353937_2020-02-09_5.2,912353937,Carrickalinga Head,2020-02-09,Kyphosidae Kyphosus sydneyanus,Kyphosus sydneyanus,150,M1_fish
923403133 Transect_923403133_2024-02-18_5.1,923403133,Carrickalinga Head,2024-02-18,Kyphosidae Kyphosus sydneyanus,Kyphosus sydneyanus,140,M1_fish
923403149 Transect_923403149_2024-02-18_5.2,923403149,Carrickalinga Head,2024-02-18,Kyphosidae Kyphosus sydneyanus,Kyphosus sydneyanus,123,M1_fish
912353936 Transect_912353936_2020-02-09_5.1,912353936,Carrickalinga Head,2020-02-09,Kyphosidae Kyphosus sydneyanus,Kyphosus sydneyanus,91,M1_fish
923401333 Transect_923401333_2022-03-25_5.1,923401333,Noarlunga North Outside,2022-03-25,Kyphosidae Kyphosus sydneyanus,Kyphosus sydneyanus,72,M1_fish
812325211 Transect_812325211_2013-02-28_5.1,812325211,Carrickalinga North Site,2013-02-28,Kyphosidae Kyphosus sydneyanus,Kyphosus sydneyanus,68,M1_fish
923400389 Transect_923400389_2021-03-21_5.3,923400389,Carrickalinga Head,2021-03-21,Kyphosidae Kyphosus sydneyanus,Kyphosus sydneyanus,66,M1_fish
912352619 Transect_912352619_2019-02-28_5.4,912352619,Carrickalinga North Site,2019-02-28,Kyphosidae Kyphosus sydneyanus,Kyphosus sydneyanus,65,M1_fish
912350917 Transect_912350917_2018-02-13_5,912350917,Rapid Head,2018-02-13,Kyphosidae Kyphosus sydneyanus,Kyphosus sydneyanus,64,M1_fish
912353913 Transect_912353913_2020-02-09_5.4,912353913,Carrickalinga Head,2020-02-09,Kyphosidae Kyphosus sydneyanus,Kyphosus sydneyanus,60,M1_fish
923406664 Transect_923406664_2026-04-08_5.4,923406664,Troubridge Lighthouse,2026-04-08,Kyphosidae Kyphosus sydneyanus,Kyphosus sydneyanus,59,M1_fish
923406575 Transect_923406575_2026-01-14_5.1,923406575,Carrickalinga Head,2026-01-14,Kyphosidae Kyphosus sydneyanus,Kyphosus sydneyanus,58,M1_fish
812327321 Transect_812327321_2016-03-16_5.1,812327321,Penneshaw Pub,2016-03-16,Kyphosidae Kyphosus sydneyanus,Kyphosus sydneyanus,57,M1_fish
812301071 Transect_812301071_2005-03-08_5.1,812301071,Carrickalinga Head,2005-03-08,Kyphosidae Kyphosus sydneyanus,Kyphosus sydneyanus,53,M1_fish
912353452 Transect_912353452_2020-03-21_5.2,912353452,Nev's Windmills,2020-03-21,Kyphosidae Kyphosus sydneyanus,Kyphosus sydneyanus,52,M1_fish
812319834 Transect_812319834_2006-04-20_2.4,812319834,Port Julia,2006-04-20,Labridae Neoodax balteatus,Neoodax balteatus,101,M1_fish
812327401 Transect_812327401_2016-03-17_5.1,812327401,Cable Hut,2016-03-17,Labridae Notolabrus tetricus,Notolabrus tetricus,153,M1_fish
812327402 Transect_812327402_2016-03-17_5.2,812327402,Cable Hut,2016-03-17,Labridae Notolabrus tetricus,Notolabrus tetricus,103,M1_fish
812327421 Transect_812327421_2016-03-17_5.1,812327421,Pancake Rock,2016-03-17,Labridae Notolabrus tetricus,Notolabrus tetricus,101,M1_fish
812327422 Transect_812327422_2016-03-17_5.2,812327422,Pancake Rock,2016-03-17,Labridae Notolabrus tetricus,Notolabrus tetricus,101,M1_fish
923406583 Transect_923406583_2026-02-10_5.1,923406583,Grassy Knoll,2026-02-10,Labridae Notolabrus tetricus,Notolabrus tetricus,92,M1_fish
923406561 Transect_923406561_2026-02-10_5.1,923406561,Pancake Rock,2026-02-10,Labridae Notolabrus tetricus,Notolabrus tetricus,84,M1_fish
812327322 Transect_812327322_2016-03-16_5.2,812327322,Penneshaw Pub,2016-03-16,Labridae Notolabrus tetricus,Notolabrus tetricus,81,M1_fish
812327381 Transect_812327381_2016-03-17_5.1,812327381,Grassy Knoll,2016-03-17,Labridae Notolabrus tetricus,Notolabrus tetricus,74,M1_fish
923406637 Transect_923406637_2026-02-10_5.1,923406637,Cable Hut,2026-02-10,Labridae Notolabrus tetricus,Notolabrus tetricus,71,M1_fish
812327101 Transect_812327101_2016-03-10_5.1,812327101,Rapid Head SZ Site2,2016-03-10,Labridae Notolabrus tetricus,Notolabrus tetricus,68,M1_fish
812301623 Transect_812301623_2005-03-15_5.3,812301623,Cable Hut,2005-03-15,Labridae Notolabrus tetricus,Notolabrus tetricus,67,M1_fish
812327382 Transect_812327382_2016-03-17_5.2,812327382,Grassy Knoll,2016-03-17,Labridae Notolabrus tetricus,Notolabrus tetricus,65,M1_fish
912349934 Transect_912349934_2017-03-08_5.3,912349934,Cable Hut,2017-03-08,Labridae Notolabrus tetricus,Notolabrus tetricus,60,M1_fish
812327321 Transect_812327321_2016-03-16_5.1,812327321,Penneshaw Pub,2016-03-16,Labridae Notolabrus tetricus,Notolabrus tetricus,59,M1_fish
912351011 Transect_912351011_2018-01-27_5,912351011,Whalebone Reef,2018-01-27,Labridae Notolabrus tetricus,Notolabrus tetricus,59,M1_fish
923406595 Transect_923406595_2026-02-10_5.2,923406595,Cable Hut,2026-02-10,Labridae Notolabrus tetricus,Notolabrus tetricus,59,M1_fish
923406541 Transect_923406541_2026-02-12_5.4,923406541,Rapid Head SZ Site2,2026-02-12,Labridae Notolabrus tetricus,Notolabrus tetricus,57,M1_fish
923406574 Transect_923406574_2026-02-10_5.4,923406574,Cable Hut,2026-02-10,Labridae Notolabrus tetricus,Notolabrus tetricus,57,M1_fish
812301674 Transect_812301674_2007-02-27_10.4,812301674,Cable Hut,2007-02-27,Labridae Notolabrus tetricus,Notolabrus tetricus,56,M1_fish
923406596 Transect_923406596_2026-02-10_5.4,923406596,Grassy Knoll,2026-02-10,Labridae Notolabrus tetricus,Notolabrus tetricus,56,M1_fish
812301103 Transect_812301103_2005-03-09_5.3,812301103,Rapid Head,2005-03-09,Labridae Notolabrus tetricus,Notolabrus tetricus,52,M1_fish
812327102 Transect_812327102_2016-03-10_5.2,812327102,Rapid Head SZ Site2,2016-03-10,Labridae Notolabrus tetricus,Notolabrus tetricus,52,M1_fish
912353925 Transect_912353925_2020-02-06_5.2,912353925,Rapid Head,2020-02-06,Labridae Siphonognathus beddomei,Siphonognathus beddomei,1000,M1_fish
912347002 Transect_912347002_2017-03-26_5,912347002,Carrickalinga Nth,2017-03-26,Labridae Siphonognathus beddomei,Siphonognathus beddomei,133,M1_fish
923401845 Transect_923401845_2023-02-19_5.3,923401845,Morgans,2023-02-19,Labridae Siphonognathus beddomei,Siphonognathus beddomei,131,M1_fish
912345658 Transect_912345658_2013-04-12_5.4,912345658,Carrickalinga (toilet),2013-04-12,Labridae Siphonognathus beddomei,Siphonognathus beddomei,125,M1_fish
923401832 Transect_923401832_2023-02-19_5.4,923401832,Morgans,2023-02-19,Labridae Siphonognathus beddomei,Siphonognathus beddomei,122,M1_fish
812327382 Transect_812327382_2016-03-17_5.2,812327382,Grassy Knoll,2016-03-17,Labridae Siphonognathus beddomei,Siphonognathus beddomei,113,M1_fish
812301641 Transect_812301641_2007-02-26_5.1,812301641,Cable Hut,2007-02-26,Labridae Siphonognathus beddomei,Siphonognathus beddomei,109,M1_fish
912345657 Transect_912345657_2013-04-12_5.3,912345657,Carrickalinga (toilet),2013-04-12,Labridae Siphonognathus beddomei,Siphonognathus beddomei,107,M1_fish
812327404 Transect_812327404_2016-03-17_5.4,812327404,Cable Hut,2016-03-17,Labridae Siphonognathus beddomei,Siphonognathus beddomei,105,M1_fish
912350889 Transect_912350889_2018-02-11_5.1,912350889,Grassy Knoll,2018-02-11,Labridae Siphonognathus beddomei,Siphonognathus beddomei,91,M1_fish
